               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026095,            0.016683,                   0,             0.95461,             0.94685,             0.97909,             0.64287,            0.023944,             0.01549,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025779,            0.016905,                   0,             0.96058,             0.94126,             0.97913,             0.64826,            0.023679,            0.015409,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.026064,            0.017339,                   0,             0.95826,             0.94454,             0.97934,             0.65282,            0.023602,              0.0154,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02546,             0.01667,                   0,             0.96022,              0.9403,             0.97991,             0.65157,            0.023487,            0.015326,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025502,            0.016662,                   0,             0.96006,             0.94427,             0.98229,             0.65535,            0.023356,            0.015239,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025415,            0.016833,                   0,             0.95438,             0.95378,             0.98273,             0.65669,            0.023275,            0.015216,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.025169,            0.016111,                   0,             0.96372,              0.9472,             0.98176,             0.65621,            0.023117,            0.015188,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02517,            0.016554,                   0,             0.96324,             0.94685,             0.98279,             0.65732,            0.023129,            0.015113,                   0,             0.00109,             0.00109,             0.00109
                  47,               0.025,            0.016589,                   0,             0.95719,             0.95216,             0.98202,             0.65928,            0.023085,            0.015152,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.024935,            0.016337,                   0,             0.96212,             0.94916,             0.98292,             0.65951,            0.023037,            0.015085,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024745,             0.01662,                   0,             0.96109,              0.9485,             0.98235,             0.65942,            0.022998,            0.015088,                   0,            0.000496,            0.000496,            0.000496
